,pc,pp
1662,122964,9395
1663,47548,9391
1664,136872,9391
1665,84751,9390
1666,65348,9389
1667,61322,9388
1668,50703,9387
1669,53764,9386
1670,55657,9386
1671,120436,9385
1672,45945,9384
1673,47183,9384
1674,89918,9380
1675,52939,9379
1676,59866,9378
1677,37158,9376
1678,75062,9375
1679,70704,9373
1680,81221,9372
1681,81599,9370
1682,61008,9369
1683,193404,9369
1684,27694,9368
1685,51697,9368
1686,110169,9367
1687,134533,9367
1688,74607,9366
1689,55811,9365
1690,241174,9364
1691,63954,9364
1692,92786,9364
1693,73210,9364
1694,132894,9363
1695,84385,9362
1696,161194,9361
1697,92111,9360
1698,144771,9360
1699,38854,9360
1700,91341,9359
1701,91718,9358
1702,23689,9358
1703,79385,9358
1704,102211,9357
1705,86585,9357
1706,58831,9355
1707,58077,9353
1708,125013,9353
1709,88035,9352
1710,95469,9348
1711,69089,9347
1712,126090,9346
1713,39443,9343
1714,120464,9342
1715,66888,9342
1716,107844,9341
1717,46549,9338
1718,55983,9338
1719,82809,9338
1720,61963,9338
1721,61204,9337
1722,66543,9335
1723,197876,9335
1724,174074,9334
1725,46948,9334
1726,92840,9333
1727,44487,9333
1728,81150,9332
1729,62459,9332
1730,86991,9332
1731,95345,9329
1732,51294,9329
1733,48893,9327
1734,33777,9327
1735,60789,9325
1736,67568,9323
1737,89774,9323
1738,106899,9322
1739,121753,9320
1740,68015,9320
1741,74034,9319
1742,87985,9319
1743,76634,9318
1744,57665,9316
1745,114554,9316
1746,70490,9315
1747,76996,9315
1748,117844,9314
1749,103651,9314
1750,81138,9313
1751,66878,9312
1752,70719,9312
1753,74421,9311
1754,49395,9310
1755,171619,9310
1756,75920,9306
1757,58760,9306
1758,91723,9306
1759,59896,9306
1760,105093,9306
1761,139137,9305
1762,75190,9304
1763,67690,9303
1764,93861,9303
1765,58061,9303
1766,136973,9302
1767,136136,9301
1768,129012,9299
1769,44392,9298
1770,114007,9297
1771,93906,9296
1772,133435,9296
1773,112624,9294
1774,186367,9292
1775,103568,9292
1776,52264,9292
1777,68317,9292
1778,91855,9292
1779,93226,9292
1780,153417,9292
1781,85941,9291
1782,48820,9291
1783,87434,9290
1784,74219,9289
1785,106490,9289
1786,33895,9289
1787,74166,9288
1788,16602,9285
1789,76347,9285
1790,99730,9285
1791,117201,9284
1792,81624,9283
1793,86577,9282
1794,20799,9280
1795,34839,9280
1796,56849,9279
1797,118695,9278
1798,51492,9277
1799,82538,9277
1800,119373,9276
1801,80362,9276
1802,100667,9274
1803,99812,9274
1804,62400,9273
1805,110653,9273
1806,83845,9271
1807,132283,9270
1808,40963,9269
1809,115036,9269
1810,48936,9268
1811,65654,9265
1812,82232,9265
1813,128060,9264
1814,91457,9263
1815,184861,9261
1816,145691,9261
1817,62100,9261
1818,59089,9260
1819,99777,9259
1820,57420,9259
1821,49394,9257
1822,86372,9257
1823,151731,9256
1824,79519,9256
1825,121800,9255
1826,100104,9255
1827,133850,9254
1828,99652,9254
1829,49909,9254
1830,188803,9254
1831,84521,9251
1832,56168,9251
1833,75464,9251
1834,197937,9250
1835,83645,9250
1836,29398,9250
1837,128993,9249
1838,63349,9249
1839,115787,9248
1840,47338,9248
1841,79900,9248
1842,85683,9247
1843,158890,9246
1844,60682,9246
1845,88620,9246
1846,140949,9244
1847,58741,9244
1848,84900,9243
1849,54459,9242
1850,76134,9242
1851,93760,9242
1852,80500,9241
1853,85526,9240
1854,67602,9240
1855,109038,9240
1856,26124,9239
1857,20519,9239
1858,60497,9238
1859,66743,9237
1860,90352,9237
1861,119375,9236
1862,96401,9236
1863,89236,9235
1864,87481,9234
1865,86989,9233
1866,82019,9232
1867,89299,9232
1868,79050,9231
1869,75862,9230
1870,72048,9230
1871,129770,9229
1872,44865,9229
1873,73497,9228
1874,89129,9228
1875,84692,9227
1876,106192,9227
1877,74501,9225
1878,10758,9225
1879,121902,9224
1880,9028,9223
1881,99455,9222
1882,145860,9222
1883,97683,9221
1884,72887,9220
1885,42500,9220
1886,28489,9219
1887,100953,9219
1888,51310,9219
1889,68683,9219
1890,57157,9219
1891,60702,9218
1892,91958,9218
1893,67111,9216
1894,110474,9216
1895,59483,9215
1896,67148,9213
1897,89905,9212
1898,155521,9211
1899,89525,9210
1900,111522,9209
1901,43392,9209
1902,41888,9209
1903,58419,9208
1904,79954,9208
1905,131317,9207
1906,95956,9204
1907,51178,9203
1908,75697,9203
1909,89650,9203
1910,54366,9203
1911,97311,9202
1912,80477,9201
1913,79961,9199
1914,70905,9198
1915,100420,9198
1916,61113,9196
1917,75360,9196
1918,132478,9195
1919,89835,9195
1920,67651,9191
1921,84820,9190
1922,34710,9190
1923,60978,9189
1924,50778,9186
1925,90603,9186
1926,56969,9186
1927,80574,9186
1928,113694,9185
1929,112180,9184
1930,66185,9184
1931,59500,9183
1932,137893,9181
1933,44621,9181
1934,117523,9178
1935,62398,9178
1936,84876,9178
1937,61151,9177
1938,55912,9177
1939,158540,9176
1940,104772,9173
1941,76298,9173
1942,62881,9173
1943,84087,9173
1944,122534,9173
1945,57764,9173
1946,112915,9172
1947,78620,9172
1948,134761,9171
1949,85225,9170
1950,63434,9170
1951,161358,9169
1952,84089,9168
1953,123982,9167
1954,69114,9167
1955,57959,9167
1956,89757,9167
1957,12792,9166
1958,59793,9165
1959,50920,9165
1960,88745,9165
1961,108328,9164
1962,96053,9164
1963,76822,9163
1964,130996,9162
1965,28094,9157
1966,55045,9157
1967,151698,9156
1968,109401,9156
1969,49292,9156
1970,89920,9155
1971,47757,9155
1972,185367,9155
1973,70255,9154
1974,83462,9154
1975,70651,9154
1976,108885,9153
1977,76472,9152
1978,67490,9152
1979,92809,9149
1980,125152,9148
1981,61670,9147
1982,134701,9147
1983,115594,9147
1984,160270,9146
1985,59341,9145
1986,50628,9144
1987,94519,9144
1988,113713,9144
1989,76799,9144
1990,40973,9144
1991,24198,9144
1992,53255,9143
1993,192302,9143
1994,54765,9142
1995,136988,9142
1996,58565,9142
1997,52135,9142
1998,83786,9142
1999,46608,9139
2000,41704,9138
2001,146439,9138
2002,138090,9137
2003,103068,9136
2004,96064,9135
2005,58828,9135
2006,153100,9134
2007,60457,9132
2008,93664,9131
2009,120535,9130
2010,73835,9130
2011,41293,9130
2012,74077,9130
2013,32169,9130
2014,104152,9128
2015,195401,9127
2016,298512,9127
2017,36040,9126
2018,59907,9125
2019,50730,9125
2020,90224,9125
2021,92918,9124
2022,75528,9123
2023,75192,9123
2024,58300,9123
2025,61649,9121
2026,36854,9121
2027,97936,9120
2028,97072,9119
2029,112505,9118
2030,62815,9117
2031,66348,9117
2032,56291,9116
2033,45147,9115
2034,49861,9114
2035,76452,9114
2036,76478,9113
2037,65678,9112
2038,59865,9111
2039,175807,9111
2040,54600,9111
2041,99441,9110
2042,132275,9110
2043,108855,9109
2044,67769,9109
2045,54727,9108
2046,89137,9107
2047,97791,9105
2048,92174,9105
2049,47957,9104
2050,58570,9103
2051,70767,9102
2052,72537,9101
2053,50696,9101
2054,108771,9100
2055,131562,9100
2056,37529,9099
2057,86928,9099
2058,63093,9098
2059,95315,9097
2060,68507,9097
2061,44100,9097
2062,51401,9096
2063,38713,9096
2064,56613,9095
2065,57757,9095
2066,85919,9093
2067,95333,9092
2068,65303,9092
2069,66501,9092
2070,76932,9089
2071,109185,9089
2072,104979,9088
2073,50442,9087
2074,103023,9086
2075,85567,9086
2076,57531,9085
2077,57532,9083
2078,147788,9081
2079,49552,9081
2080,93678,9080
2081,75424,9080
2082,37561,9080
2083,83243,9080
2084,49546,9079
2085,81927,9078
2086,39527,9078
2087,136301,9078
2088,92639,9078
2089,53221,9078
2090,175310,9078
2091,129368,9077
2092,106121,9076
2093,49648,9076
2094,66109,9075
2095,134199,9075
2096,84000,9074
2097,55545,9073
2098,85801,9070
2099,81380,9070
2100,60168,9069
2101,82529,9069
2102,29208,9068
2103,59867,9067
2104,28964,9066
2105,21360,9065
2106,68160,9065
2107,109727,9065
2108,100475,9064
2109,128168,9063
2110,28647,9061
2111,60481,9061
2112,63455,9060
2113,251715,9060
2114,139421,9060
2115,77858,9060
2116,59172,9059
2117,61467,9058
2118,47117,9058
2119,77823,9057
2120,82861,9057
2121,125689,9057
2122,59805,9056
2123,82168,9054
2124,48843,9054
2125,48580,9052
2126,63004,9052
2127,95658,9050
2128,75416,9050
2129,55141,9048
2130,54448,9048
2131,137056,9048
2132,78113,9046
2133,92180,9046
2134,82898,9044
2135,122548,9043
2136,167466,9043
2137,82177,9042
2138,73862,9040
2139,71822,9039
2140,100000,9039
2141,99348,9039
2142,72184,9035
2143,48437,9035
2144,80324,9034
2145,63442,9033
2146,103074,9032
2147,33667,9032
2148,89482,9032
2149,114553,9031
2150,42716,9031
2151,55231,9030
2152,92951,9030
2153,95155,9029
2154,32905,9028
2155,86250,9027
2156,122416,9027
2157,52143,9027
2158,123112,9027
2159,117670,9026
2160,78249,9025
2161,85997,9022
2162,35488,9022
2163,115359,9021
2164,70198,9021
2165,69327,9021
2166,73573,9019
2167,81834,9019
2168,98462,9019
2169,41299,9018
2170,105426,9018
2171,92577,9017
2172,83503,9016
2173,80525,9016
2174,103935,9015
2175,42525,9015
2176,57583,9014
2177,139690,9013
2178,64934,9013
2179,87549,9012
2180,84696,9012
2181,96245,9011
2182,84451,9011
2183,95341,9010
2184,141759,9010
2185,90545,9009
2186,47677,9009
2187,50521,9009
2188,22679,9007
2189,114886,9005
2190,56211,9004
2191,110356,9004
2192,24899,9003
2193,57874,8998
2194,154867,8997
2195,60775,8996
2196,72304,8994
2197,129773,8994
2198,44504,8994
2199,55489,8993
2200,62024,8993
2201,57105,8990
2202,62650,8989
2203,88240,8989
2204,56402,8987
2205,53350,8985
2206,47714,8984
2207,52670,8983
2208,52046,8983
2209,52359,8982
2210,83862,8980
2211,172951,8978
2212,24698,8978
2213,69258,8976
2214,79694,8976
2215,38941,8976
2216,80563,8975
2217,115896,8974
2218,52383,8974
2219,73046,8973
2220,48641,8973
2221,62022,8973
2222,85369,8971
2223,46365,8970
2224,57060,8970
2225,89847,8970
2226,110221,8970
2227,91369,8969
2228,77777,8969
2229,102239,8968
2230,184248,8965
2231,84773,8964
2232,91708,8963
2233,132467,8962
2234,111986,8962
2235,104586,8960
2236,37989,8960
2237,66263,8960
2238,73150,8959
2239,32672,8959
2240,125697,8959
2241,64912,8958
2242,81931,8957
2243,47075,8956
2244,96663,8955
2245,82894,8954
2246,168535,8954
2247,160399,8954
2248,111644,8954
2249,107358,8953
