,pc,pp
399,71240,11445
400,191979,11433
401,103507,11427
402,72349,11425
403,93705,11422
404,103104,11421
405,69304,11410
406,130513,11407
407,146709,11407
408,109875,11405
409,59114,11401
410,109869,11401
411,99144,11399
412,195166,11389
413,43887,11377
414,137343,11375
415,157218,11371
416,132428,11371
417,99809,11363
418,123381,11362
419,109418,11360
420,147596,11359
421,157876,11349
422,99704,11344
423,64228,11336
424,162906,11335
425,66174,11329
426,81070,11327
427,107540,11326
428,80646,11324
429,109912,11322
430,114710,11320
431,102145,11318
432,150954,11317
433,123432,11311
434,98494,11308
435,63291,11307
436,68673,11306
437,91839,11304
438,96609,11297
439,149532,11293
440,61721,11285
441,41973,11280
442,112955,11278
443,121511,11278
444,61426,11277
445,82034,11274
446,93843,11271
447,85343,11271
448,132102,11267
449,125938,11267
450,87993,11266
451,103144,11266
452,108177,11262
453,90589,11262
454,188443,11260
455,70787,11260
456,113860,11252
457,94401,11250
458,85006,11248
459,155501,11247
460,117245,11246
461,115473,11243
462,140853,11240
463,77311,11235
464,102787,11230
465,68841,11225
466,84797,11225
467,55979,11221
468,7677,11215
469,89325,11213
470,94023,11213
471,113951,11212
472,41491,11212
473,191773,11210
474,131159,11206
475,53332,11204
476,93275,11193
477,96138,11189
478,150618,11189
479,42533,11188
480,145803,11187
481,115607,11186
482,105219,11184
483,126994,11180
484,197715,11179
485,77744,11179
486,164177,11174
487,122075,11174
488,80529,11165
489,76842,11163
490,180412,11163
491,53993,11154
492,85488,11154
493,57886,11153
494,33993,11148
495,132399,11147
496,171898,11143
497,98956,11141
498,82063,11136
499,96876,11133
500,64618,11132
501,83156,11122
502,183284,11118
503,157461,11117
504,71824,11116
505,75758,11114
506,85594,11112
507,65197,11112
508,126540,11112
509,61572,11110
510,66571,11106
511,144790,11105
512,88723,11103
513,79125,11102
514,95219,11100
515,82577,11096
516,208728,11096
517,62851,11094
518,77087,11086
519,117584,11085
520,156563,11081
521,109289,11079
522,60071,11077
523,113835,11074
524,85574,11064
525,67266,11063
526,97884,11062
527,30489,11062
528,137817,11061
529,71474,11059
530,79158,11058
531,64666,11057
532,144086,11055
533,67524,11050
534,66298,11049
535,86021,11047
536,62481,11039
537,78996,11038
538,151257,11031
539,48479,11031
540,73405,11031
541,70690,11031
542,190942,11031
543,115291,11031
544,134325,11027
545,106637,11011
546,220333,11008
547,156468,11006
548,138941,11004
549,84933,11002
550,87257,10993
551,69106,10990
552,80738,10990
553,90141,10988
554,80206,10976
555,132597,10975
556,108207,10974
557,44448,10970
558,133674,10960
559,219112,10958
560,128398,10956
561,78358,10952
562,148873,10951
563,83670,10950
564,117244,10946
565,99767,10944
566,54427,10942
567,134702,10935
568,85569,10935
569,75380,10933
570,115986,10931
571,105705,10926
572,102103,10925
573,191580,10925
574,78134,10925
575,119372,10924
576,173947,10924
577,105601,10919
578,183083,10919
579,123724,10917
580,121246,10916
581,147561,10913
582,110568,10912
583,87470,10909
584,180995,10906
585,123494,10903
586,183404,10902
587,54091,10898
588,72615,10889
589,97600,10889
590,152276,10888
591,92293,10888
592,47297,10887
593,119387,10884
594,193330,10883
595,110104,10881
596,117163,10880
597,155741,10876
598,104063,10875
599,83080,10875
600,165268,10868
601,93960,10866
602,221615,10864
603,156131,10864
604,62750,10860
605,58379,10852
606,81508,10852
607,91919,10851
608,136032,10850
609,124448,10844
610,90455,10837
611,99324,10837
612,97794,10836
613,142748,10834
614,183626,10827
615,215000,10825
616,77220,10824
617,105487,10823
618,110876,10822
619,82217,10821
620,122909,10819
621,61243,10819
622,112945,10818
623,161816,10809
624,112489,10809
625,122726,10808
626,146544,10807
627,83014,10802
628,65158,10799
629,125102,10797
630,119986,10797
631,97763,10797
632,91293,10797
633,103539,10793
634,55094,10792
635,89641,10790
636,110340,10788
637,82892,10787
638,230315,10786
639,73795,10785
640,103948,10782
641,41706,10780
642,43196,10777
643,71626,10777
644,52577,10773
645,85226,10773
646,115885,10772
647,100149,10770
648,90013,10769
649,64488,10769
650,72248,10769
651,192685,10768
652,148133,10767
653,157722,10767
654,103302,10766
655,143048,10763
656,65766,10763
657,93305,10762
658,59935,10761
659,100575,10740
660,44367,10738
661,111022,10735
662,84035,10734
663,63116,10732
664,103387,10728
665,19999,10725
666,103545,10723
667,75800,10723
668,100787,10721
669,69618,10721
670,58767,10718
671,141811,10715
672,32981,10711
673,101822,10710
674,122866,10710
675,61280,10707
676,71822,10706
677,80171,10706
678,55602,10705
679,57316,10705
680,142886,10703
681,25835,10702
682,96487,10698
683,76708,10694
684,29755,10689
685,69428,10689
686,91641,10687
687,96823,10683
688,312892,10679
689,122254,10676
690,34832,10675
691,85113,10670
692,150439,10670
693,85155,10668
694,41710,10668
695,128396,10668
696,105553,10668
697,55228,10666
698,27238,10666
699,91590,10663
700,87885,10660
701,107748,10658
702,152541,10655
703,135711,10653
704,101097,10651
705,81127,10651
706,128535,10650
707,55502,10647
708,65167,10645
709,50543,10644
710,16843,10637
711,87806,10635
712,100898,10635
713,90476,10635
714,51797,10634
715,111368,10628
716,143639,10623
717,150654,10623
718,130512,10622
719,67101,10620
720,101712,10613
721,178821,10613
722,162857,10605
723,51088,10603
724,130779,10602
725,111597,10599
726,114394,10598
727,102750,10597
728,80410,10596
729,54375,10594
730,94863,10592
731,82333,10592
732,138467,10592
733,46953,10583
734,61133,10578
735,42051,10578
736,105784,10576
737,64050,10573
738,92978,10573
